################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   5.5271678568362976E-03   7.7111173154335952E-02   3.2965497927389044E-02   6.5026796477967606E-03
         1          2   3.8965780694866427E-02   2.2493750852477590E-01   1.5510030804087963E-01   9.4319601707704565E-03
         1          3   0.0000000000000000E+00   1.3745639214836484E-02   1.3496612937653939E-05   1.0446692608257197E-04
         1          4   0.0000000000000000E+00   2.1083174573925261E-02   2.0676174416133625E-04   7.5117924031648789E-04
         1          5   6.4876868602667351E-02   4.1742296339067880E-01   1.9166480220138596E-01   3.1457886844317662E-02
         1          6   2.2322408725487319E-01   5.0263523937351740E-01   3.6009731683060886E-01   3.4993943425963424E-02
         1          7   0.0000000000000000E+00   9.0792542123535894E-02   3.5116582440498153E-04   1.3286255883780394E-03
         1          8   0.0000000000000000E+00   1.1825866811104732E-01   2.6170462593918245E-03   7.8117305114619772E-03
         1          9   2.3961757114251703E-01   1.0419710369326853E+00   5.3770520475464545E-01   1.1012476644940275E-01
         1         10   2.1410415540078170E-01   6.3628424756358481E-01   3.9885122321901834E-01   8.2167315346751757E-02
         1         11   0.0000000000000000E+00   2.2061799932277204E-01   3.9523128201022165E-03   9.7783587441866264E-03
         1         12   0.0000000000000000E+00   2.4402568733101646E-01   1.3458705973267896E-02   3.3413250953165725E-02
         1         13   1.8113278051054715E-01   1.6793972955150365E+00   9.1248246380763487E-01   1.9495972763735464E-01
         1         14   6.7693823267107878E-02   7.8760149358920828E-01   3.7760111723208606E-01   1.0053501012470885E-01
         1         15   0.0000000000000000E+00   3.2788396759532845E-01   1.9062333340714714E-02   3.6529059523697907E-02
         1         16   0.0000000000000000E+00   3.4657647376929529E-01   3.0266891128193186E-02   6.0842225437426629E-02
         1         17   1.3553708981177939E-01   1.9189749013318220E+00   1.1090584411676725E+00   2.0835590526738906E-01
         1         18   4.4117589701607347E-02   1.0210120832406404E+00   4.9436703203284676E-01   1.1880105026125012E-01
         1         19   0.0000000000000000E+00   4.4152749410764475E-01   4.0262217077993670E-02   6.4321461388288426E-02
         1         20   0.0000000000000000E+00   3.6367256306069590E-01   3.6695722026991569E-02   5.5183573002555553E-02
         1         21   2.4126644760185667E-01   1.7778525601036799E+00   1.0610702166294279E+00   1.7163767248367490E-01
         1         22   9.4839762406621425E-02   9.8463250807322422E-01   5.6392103159709295E-01   9.9954668457735096E-02
         1         23   0.0000000000000000E+00   3.4697310029412454E-01   4.0429690242788141E-02   5.5077200523724772E-02
         1         24   0.0000000000000000E+00   3.1052620497300953E-01   3.3714367605731196E-02   4.1765707963260443E-02
         1         25   2.4492589506812396E-01   1.2348151178945634E+00   8.0118336371395160E-01   1.1446313920400292E-01
         1         26   8.0028958391058821E-02   6.9825549901781159E-01   4.2125547130102742E-01   6.7729281375675063E-02
         1         27   0.0000000000000000E+00   2.0161879182229800E-01   2.4185278424339200E-02   2.8389295963326719E-02
         1         28   0.0000000000000000E+00   1.9700048146658372E-01   2.5382108846528875E-02   2.9386566256764897E-02
